Time,eNodeB ID,LTE_RSRP,LTE_RSRQ,SINR,CQI,DL_Throughput,UL_Throughput,Packet_Loss
2026-09-25 08:00:00,101-1,-85,-8,14,14,85,18,0.1
2026-09-25 08:15:00,101-1,-117,-19,-4,4,40,8,0.3
2026-09-25 08:30:00,101-1,-120,-21,-6,3,30,5,0.4
2026-09-25 08:45:00,101-1,-90,-10,10,13,80,16,0.2
2026-09-25 09:00:00,101-1,-88,-9,12,14,82,17,0.1
2026-09-25 08:00:00,102-1,-86,-9,12,13,78,15,0.1
2026-09-25 08:15:00,102-1,-87,-8,11,13,76,14,0.1
2026-09-25 08:30:00,102-1,-85,-22,-5,4,70,13,0.2
2026-09-25 08:45:00,102-1,-86,-9,11,13,77,14,0.1
2026-09-25 09:00:00,102-1,-88,-8,12,14,79,15,0.1
2026-09-25 08:00:00,103-1,-89,-10,9,12,82,16,0.2
2026-09-25 08:15:00,103-1,-90,-10,10,12,80,15,0.1
2026-09-25 08:30:00,103-1,-88,-9,11,13,81,16,0.1
2026-09-25 08:45:00,103-1,-89,-10,10,12,83,17,0.2
2026-09-25 09:00:00,103-1,-87,-9,12,13,4,0.5,6.0
2026-09-25 08:00:00,104-1,-112,-8,12,14,85,18,0.1
2026-09-25 08:00:00,105-1,-88,-9,11,7,82,17,0.1
